Number,Headline,Problem Statement,Expected Outcome,Possible Solution,Value,Effort,Risk Reduction,ROI Description,ROI Calculation,
1,Develop an AI Agent for InEight,"Project teams must navigate multiple applications, reports, and training resources to find answers or understand next steps, creating friction, delays, and inconsistent use of the platform. Knowledge exists, but it is fragmented and not accessible in the moment decisions are made.",Quickly interact with all the material inside of InEight in context of the solution that is being used.  This includes training material and reporting.  These agents will support the overall Kiewit agent.,Build an AI Agent that is available in all applications for InEight,H ,L ,L,"Kiewit field personal is 7,300 FTE's.  50% of these FTE's interact with the system on a daily basis.  By providing training and reporting in real time effiency can be improved by at least 5%"," $27,375,000 ",
2,Document Control Automation,"Critical project information is locked in documents that require manual search, expert interpretation, and repeated handoffs, slowing response times and increasing dependency on a small number of specialists for routine questions and actions.",Enable conversational interaction with project documents to get answers more quickly and automate document-related workflows. Expands the footprint of people who are able to get work done without having to make requests to SMEs or specialists,"Develop an AI Agent, accessed through a new web and mobile UI, that uses document intelligence to interact with the project documents uploaded into InEight Document.  The Agent can answer questions, anticipate issues based on document content, and initiate actions inside the system (e.g., send an RFI and include this content)",H ,L ,L,"Kiewit has 500 FTE's and partners in the system on a daily basis.  By building automated form generation of RFI's, submittals, and transmittals this process can be significantly enhanced by at least 25%"," $12,500,000 ",
3,Estimate Takeoff Automation,"Quantity takeoff is a labor-intensive, manual process that varies by estimator and project, creating schedule delays, cost variability, and limited scalability during peak workload periods.",Opportunity to create a Takeoff Shared Service and automate the takeoff process through the Model and 2D drawings,Opportunity to create a Takeoff Shared Service and automate the takeoff process through the Model and 2D drawings,H ,H ,H,Kiewit has 750 FTE's that participate in quantity takeoff on a daily basis automation of 50% of this time," $37,500,000 ",
4,Estimate Conformance,"Estimate conformance requires repetitive manual checks, rollups, and normalization that consume expert time and introduce inconsistency, slowing downstream activities such as scheduling and risk analysis.","Dramatically shorten estimate conformance timelines using AI to learn from prior conformance routines to auto-complete actions such as roll-ups and splits, account code assignments, resource normalization, and other time consuming tasks ",Estimate conformance could be automated through standard account codes and business line structure,L ,L ,L,Kiewit has 25 FTE's that participate in the Estimate conformance process on a daily basis the task can be reduced by 80%," $2,000,000 ",
5,Project Schedule Creation,"Initial project schedules take significant time to produce and depend heavily on individual experience, resulting in inconsistent structure, increased risk, and delayed visibility into execution feasibility.","Dramatically reduce time required to create preliminary construction schedules by intelligently leveraging information in the current estimate and historical schedules to auto create WBS/activities, durations, logic relationships, and more",From the estimate or estimate conformance a schedule could be generated based on past projects and standard account codes,M ,M,L,Kiewit has 100 people that participate in schedule creation on a daily basis while reducing risk and creating automated schedules reduces this time by 50%," $7,500,000 ",
6,Project Risk Creation and Monitoring,"Project risks are often identified late and inconsistently, relying on manual judgment rather than systematic use of historical patterns, leading to reactive mitigation and reduced predictability.",Identify risks earlier in the project lifecycle by  intelligently leveraging information in the current estimate and historical schedules to auto create a risk register,At estimate time a risk register could be generated based on standard account codes and applied against the generated estimate and schedule.,M ,L ,H,The ability to automate a risk register for a project based on previous work is significant," $20,000,000 ",
7,Project Quantity Overrun Tracking,"Quantity overruns are typically detected after cost impacts occur, due to limited ability to continuously compare planned and actual quantities against historical benchmarks and emerging trends.",Create more accurate quantity expectations for projects by continually learning from previous projects and tracking where quantity busts are most likely to occur,Takeoffs would be automatically compared and stored  in Design for future use,L ,L ,M,Having the ability review and automate quantity overrun projects for an estimate will have significant value," $20,000,000 ",
8,Work Package Creation,"Work package development requires substantial manual effort to assemble plans, scope, and sequencing, creating delays and variability in quality while consuming significant field and engineering capacity.",A shared service could complete the initial plans based on project needs through automation,A shared service could complete the initial plans based on project needs through automation,H ,M,H,Kiewit has 2500 FTE's that spend 20% generating work plans on a daily basis by improving the creation and quality of workplaning this process can improved by 50%," $50,000,000 ",
9,Compliance Form Creation,"Safety and compliance forms are manually created and customized for each work plan, consuming time, introducing errors, and increasing the risk of inconsistent or incomplete documentation.",Eliminate manual effort required to create safety forms associated with an upcoming work plan,InEight needs to automate the creation of Compliance forms for Web and mobile based work plans b asked on past patterns,M ,M,H,Kiewit has 50 FTE's developing forms on a daily basis by automating this process we can improve safety and efficiency," $2,500,000 ",
10,Completion Form Creation,"Quality checklists and completion documentation are manually generated and maintained, creating administrative overhead and increasing the likelihood of missed or inconsistent quality controls.",Eliminate manual effort required to create quality checklists associated with an upcoming work plan,"InEight needs to automate the creation of Completion forms for Web and mobile based on past patterns, types of work, components, and plans",M ,M,H,Kiewit has 50 FTE's developing forms on a daily basis by automating this process we can improve quality and efficiency," $2,500,000 ",
